DF_Market,Location,TMO,Flavor,Taste,Thickness,Length,PMI_Seg_SKU,PMI Total,SoM_PMI
Israel,Tel-Aviv,PMI,Regular,Ultralights,STD,KS,1,26558000,0.8
China,Changchun Longjia,PMI,Menthol,Full Flavor,STD,KS,1,3370800,0
Switzerland,Basel,PMI,NTD Caps,Full Flavor,STD,KS,2,42544200,2
Argentina,Mendoza,PMI,NTD Caps,Full Flavor,STD,KS,1,1279200,0.3
Bosnia-Herzegovinia,Tuzla,PMI,NTD Caps,Full Flavor,STD,KS,1,30693600,2.8
Ecuador,Guayaquil,PMI,Regular,Full Flavor,SLI,KS,3,548837200,27.8
Tunisia,Sfax,PMI,Menthol Caps,Full Flavor,STD,KS,1,1016800,0
Japan,Kagoshima,PMI,NTD Caps,Full Flavor,STD,KS,1,742400,0
Reunion,Roland Garros,PMI,Regular,Lights,STD,KS,1,151065200,4.8
Mexico,Guadalajara,PMI,NTD Caps,Full Flavor,STD,KS,1,73813600,0.5
Costa Rica,San Jose,PMI,Regular,Full Flavor,SLI,KS,1,2907200,15.4
"Congo, Rep. Dem.",Lubumbashi,PMI,Regular,Full Flavor,STD,KS,1,7040000,8
China,Yancheng Nanyang,PMI,Menthol Caps,Full Flavor,STD,KS,1,54000,0
Poland,Warsaw,PMI,Regular,Full Flavor,STD,KS,11,1842137020,15.6
Mali,Bamako,PMI,Regular,Full Flavor,STD,KS,2,892264000,85.1
Turkey,Istanbul Asia Airport,PMI,Regular,Full Flavor,STD,KS,57,24160335000,14.8
France,Lyon Saint Exupery,PMI,Regular,Full Flavor,STD,KS,10,468078000,3.9
Chile,Santiago Arturo Merino Benitez,PMI,Regular,Full Flavor,STD,KS,4,1082238000,43.6
Egypt,Cairo,PMI,Regular,Full Flavor,STD,KS,29,11924985639,35.1
Martinique,Fort-de-France,PMI,Regular,Full Flavor,STD,KS,9,507593000,66.2
Spain,Sevilla,PMI,Regular,Full Flavor,STD,KS,7,174527200,1.5
Cape Verde,Espargos,PMI,Menthol,Full Flavor,STD,KS,2,94173600,1.6
Australia,Brisbane,PMI,Regular,Full Flavor,STD,KS,5,5255710,20.3
Germany,Hannover,PMI,Regular,Full Flavor,SLI,KS,3,46886800,1.5
China,Wenzhou Longwan,PMI,Menthol Caps,Full Flavor,STD,KS,3,13869000,0.2
Maldives,Male,PMI,Regular,Full Flavor,SLI,KS,6,71245557,11.1
Turkey,Diyarbakir Airport,PMI,NTD Caps,Full Flavor,STD,KS,10,23362600,0
Vietnam,Hanoi,PMI,Menthol Caps,Full Flavor,STD,KS,3,87751800,8.2
Kazakhstan,Almaty,PMI,Regular,Full Flavor,STD,KS,12,125501000,73.8
Morocco,Nador,PMI,NTD Caps,Full Flavor,STD,KS,7,31933400,0.1
Montenegro,Podgorica,PMI,Regular,Full Flavor,STD,KS,3,16980000,100
Australia,Perth,PMI,Regular,Full Flavor,STD,KS,5,2230150,8.6
India,Lucknow,PMI,Regular,Full Flavor,STD,KS,10,17044054,0.4
Mexico,Mazatlan,PMI,Regular,Full Flavor,STD,KS,9,15774600,0.1
Brazil,Brasilia,PMI,Regular,Full Flavor,STD,KS,11,22372800,0.4
Great Britain,Newcastle,PMI,Regular,Full Flavor,SLI,KS,2,29146800,0.6
Turkey,Istanbul Airport,PMI,Regular,Full Flavor,SLI,KS,9,10408528200,6.4
United Arab Emirates,Dubai,PMI,Menthol Caps,Full Flavor,STD,KS,3,125702000,0.4
Brazil,Rio de Janeiro,PMI,NTD Caps,Full Flavor,STD,KS,3,134061000,2.2
Turkey,Denizli Cardak Airport,PMI,Regular,Full Flavor,SLI,KS,7,17247200,0
Dominican Republic,Santiago Cibao,PMI,NTD Caps,Full Flavor,STD,KS,2,17090400,0.2
Austria,Vienna,PMI,Regular,Full Flavor,STD,KS,4,47109600,65
Bosnia-Herzegovinia,Tuzla,PMI,Regular,Full Flavor,STD,KS,10,190172200,17.2
South Korea,Jeju,PMI,Menthol Caps,Full Flavor,STD,KS,4,297057800,1.8
Philippines,Manila - Ninoy Aquino,PMI,Regular,Full Flavor,STD,KS,2,63265400,84.6
Germany,Duesseldorf,PMI,Regular,Full Flavor,SLI,KS,3,179151400,5.7
China,Qingdao Liuting,PMI,NTD Caps,Full Flavor,STD,KS,4,26888000,0.3
Dominican Republic,Santiago Cibao,PMI,Regular,Full Flavor,STD,KS,7,319822200,3.3
Tanzania,Kilimanjaro,PMI,Regular,Full Flavor,STD,KS,8,32637000,3.5
Saudi Arabia,Medina,PMI,Regular,Full Flavor,STD,KS,6,159591000,3.9
Czech Republic,Prague,PMI,Regular,Full Flavor,SLI,KS,2,20259600,17
Morocco,Nador,PMI,Menthol Caps,Full Flavor,STD,KS,3,7603200,0
Norway,Stavanger,PMI,Regular,Full Flavor,STD,KS,15,38197700,6.5
Cape Verde,Praia,PMI,NTD Caps,Full Flavor,STD,KS,3,13053600,0.2
China,Taiyuan Wusu,PMI,Menthol Caps,Full Flavor,STD,KS,2,3997000,0
Barbados,Bridgetown,PMI,Menthol,Full Flavor,STD,KS,3,38220825,5.3
Turkey,Istanbul Asia Airport,PMI,Regular,Full Flavor,SSL,KS,1,168633000,0.1
Brazil,Florianopolis,PMI,NTD Caps,Full Flavor,STD,KS,1,8937600,0.1
Sweden,Lulea,PMI,Regular,Full Flavor,STD,KS,4,1020400,0.5
Cape Verde,Rabil,PMI,Regular,Full Flavor,STD,KS,8,1318069400,22.4
Mexico,Guadalajara,PMI,Regular,Full Flavor,SLI,KS,3,490043200,3.1
Turkey,Izmir Airport,PMI,NTD Caps,Full Flavor,STD,KS,14,2323087200,1.4
Tunisia,Jerba,PMI,Regular,Full Flavor,STD,KS,13,2690517800,12
South Africa,Durban,PMI,Regular,Full Flavor,SLI,KS,1,2117000,0.6
Brazil,Belo Horizonte,PMI,NTD Caps,Full Flavor,STD,KS,2,3598400,0.1
Tunisia,Jerba,PMI,Menthol Caps,Full Flavor,STD,KS,3,20254800,0.1
Argentina,Rosario,PMI,Regular,Full Flavor,SLI,KS,6,1051200,0.2
Vietnam,Hanoi,PMI,Regular,Full Flavor,STD,KS,4,264818800,24.8
Lebanon,Beirut - Rafik Hariri,PMI,Regular,Full Flavor,SLI,KS,8,4729594200,66.6
China,Wuxi Shuofang,PMI,Menthol Caps,Full Flavor,STD,KS,4,20854000,0.3
Brazil,Sao Paulo - Guarulhos,PMI,NTD Caps,Full Flavor,STD,KS,3,192572800,3.2
Indonesia,Soekarno Hatta,PMI,Regular,Full Flavor,STD,KS,6,47742200,29.9
Djibouti,Djibouti,PMI,Regular,Full Flavor,STD,KS,3,26902173,97.5
Hong Kong,Hong Kong,PMI,Menthol,Full Flavor,STD,KS,2,65710400,7
South Korea,Daegu,PMI,Regular,Full Flavor,STD,KS,8,293073400,1.8
Norway,Bergen,PMI,Regular,Full Flavor,SLI,KS,1,23232000,3.9
Poland,Olsztyn,PMI,Regular,Full Flavor,STD,KS,8,73141320,0.6
Austria,Salzburg,PMI,Regular,Full Flavor,SLI,KS,2,1486400,2.1
Germany,Dortmund,PMI,Regular,Full Flavor,STD,KS,9,13766600,0.4
Denmark,Billund,PMI,Regular,Full Flavor,STD,KS,5,13916218,14.4
Morocco,Nador,PMI,Regular,Full Flavor,SLI,KS,1,3591000,0
Russia,Min Vody,PMI,NTD Caps,Full Flavor,STD,KS,1,1288200,0.2
Morocco,Rabat,PMI,Menthol,Full Flavor,STD,KS,1,28497200,0.1
France,Lyon Saint Exupery,PMI,Regular,Lights,STD,KS,2,29635600,0.2
South Korea,Yangyang,PMI,Regular,1mg,SSL,KS,1,10600,0
Bulgaria,Varna,PMI,Regular,Full Flavor,SLI,KS,1,855400,0.7
China,Mudanjiang Hailang,PMI,Menthol Caps,Full Flavor,STD,KS,1,162000,0
Russia,Min Vody,PMI,Menthol Caps,Full Flavor,STD,KS,1,219000,0
Argentina,Buenos Aires Aeroparque,PMI,NTD Caps,Full Flavor,STD,KS,1,4880200,1.1
Brazil,Belo Horizonte,PMI,Menthol,Full Flavor,STD,KS,1,1654400,0
Great Britain,Leeds Bradford,PMI,Regular,Full Flavor,SLI,KS,2,21162400,0.4
Zambia,Lusaka,PMI,NTD Caps,Full Flavor,STD,KS,1,400000,1.2
Singapore,Singapore - Changi,PMI,Menthol,Full Flavor,STD,KS,4,93123000,35.7
Nigeria,Lagos,PMI,Regular,Full Flavor,SLI,KS,3,66402800,43.2
Sweden,Nykoping,PMI,Regular,Full Flavor,SLI,KS,1,470000,0.2
Kuwait,Kuwait,PMI,Menthol,Full Flavor,STD,KS,1,49927400,0.3
Germany,Bremen,PMI,Regular,Full Flavor,SLI,KS,1,6715800,0.2
Greece,Aktio,PMI,Regular,Full Flavor,SLI,KS,2,3732400,0.3
Mexico,Puerto Vallarta,PMI,Menthol Caps,Full Flavor,STD,KS,3,29109800,0.2
Russia,Moscow - Sheremetyevo,PMI,Menthol Caps,Full Flavor,STD,KS,1,14424800,2.6
Morocco,Oujda,PMI,Regular,Full Flavor,SLI,KS,1,4368000,0
Ethiopia,Addis Ababa,PMI,Menthol Caps,Full Flavor,STD,KS,1,4723200,0.1
Netherlands,Amsterdam - Schiphol,PMI,Regular,Full Flavor,STD,KS,1,37627200,7.9
Norway,Bergen,PMI,NTD Caps,Full Flavor,STD,KS,2,4811400,0.8
China,Guangzhou Baiyun,PMI,NTD Caps,Full Flavor,STD,KS,5,458285850,5.7
Great Britain,London Stansted,PMI,Regular,Full Flavor,SLI,KS,2,213015600,4.1
Spain,Malaga,PMI,Regular,Full Flavor,SLI,KS,1,225592000,1.9
China,Quanzhou,PMI,NTD Caps,Full Flavor,STD,KS,4,715600,0
Dominican Republic,Puerto Plata,PMI,NTD Caps,Full Flavor,STD,KS,2,36729600,0.4
Uruguay,Punta del Este,PMI,Regular,Full Flavor,STD,KS,1,9600,0.1
Australia,Melbourne,PMI,NTD Caps,Full Flavor,STD,KS,2,563174,2.2
China,Weihai Dashuibo,PMI,Menthol Caps,Full Flavor,STD,KS,2,1260000,0
Dominican Republic,Puerto Plata,PMI,Menthol,Full Flavor,STD,KS,1,17952000,0.2
Israel,Tel-Aviv,PMI,Menthol Caps,Full Flavor,STD,KS,1,5256800,0.2
China,Mudanjiang Hailang,PMI,Menthol,Full Flavor,STD,KS,1,108000,0
Kyrgyzstan,Manas,PMI,Regular,Full Flavor,SLI,KS,1,67496000,44.1
Vietnam,Ho Chi Minh,PMI,Menthol,Full Flavor,STD,KS,1,28572400,2.7
Tunisia,Jerba,PMI,Menthol,Full Flavor,STD,KS,1,20131400,0.1
Morocco,Essaouira,PMI,Regular,Full Flavor,SLI,KS,1,2625000,0
Cambodia,Phnom Penh,PMI,Menthol,Full Flavor,STD,KS,1,7015000,10.1
Greece,Zakynthos,PMI,Regular,Full Flavor,SSL,KS,1,93600,0
Turkey,Ankara Airport,PMI,NTD Caps,Full Flavor,STD,KS,14,1074326200,0.7
Georgia,Tbilisi,PMI,Regular,Full Flavor,STD,KS,11,123787400,46.5
France,Bordeaux,PMI,Regular,Full Flavor,SLI,KS,2,49327600,0.4
Italy,Genoa,PMI,Regular,Full Flavor,STD,KS,4,18848600,0.4
Colombia,Cartagena de Indias,PMI,Regular,Full Flavor,STD,KS,15,167812600,4
Poland,Katowice,PMI,Regular,Full Flavor,STD,KS,11,865821200,7.3
China,Nanning Wuxu,PMI,Menthol,Full Flavor,STD,KS,3,341400,0
Dominican Republic,Santo Domingo Las Americas,PMI,Regular,Full Flavor,STD,KS,13,703081200,7.2
Mexico,Puerto Vallarta,PMI,Regular,Full Flavor,STD,KS,11,556623800,3.5
Colombia,Medellin Jose Maria Cordova,PMI,Regular,Full Flavor,STD,KS,18,205017306,4.8
Taiwan,Kaohsiung,PMI,Menthol Caps,Full Flavor,STD,KS,2,5428746,0.4
Great Britain,Birmingham,PMI,Regular,Full Flavor,SLI,KS,2,93484600,1.8
China,Guiyang Longdongbao,PMI,Regular,Full Flavor,STD,KS,2,5400,0
Germany,Berlin Brandenburg,PMI,Regular,Full Flavor,STD,KS,8,195559800,6.2
Poland,Radom,PMI,Regular,Full Flavor,STD,KS,4,1285000,0
Italy,Treviso,PMI,Regular,Full Flavor,SLI,KS,2,2242000,0.1
India,Trichy,PMI,Regular,Full Flavor,SLI,KS,5,7036609,0.1
Egypt,Marsa Aalam,PMI,Regular,Full Flavor,SLI,KS,7,709627227,2.1
Brazil,Rio de Janeiro,PMI,Regular,Full Flavor,SLI,KS,3,820272800,13.5
Ethiopia,Addis Ababa,PMI,Regular,Full Flavor,SLI,KS,4,3842132400,65
Oman,Salalah,PMI,NTD Caps,Full Flavor,STD,KS,5,75364400,2
Great Britain,Jersey,PMI,Regular,Full Flavor,SLI,KS,3,8247600,0.2
Turkey,Gaziantep Airport,PMI,Regular,Full Flavor,SLI,KS,7,486225400,0.3
Oman,Salalah,PMI,Regular,Full Flavor,STD,KS,17,572151600,14.9
Argentina,Bariloche,PMI,Regular,Full Flavor,SLI,KS,2,443400,0.1
Taiwan,Kaohsiung,PMI,Menthol Caps,Full Flavor,SLI,KS,1,7876600,0.6
Mexico,Cozumel,PMI,Menthol Caps,Full Flavor,STD,KS,3,897600,0
India,Trichy,PMI,Regular,Full Flavor,STD,KS,10,17044054,0.4
Taiwan,Everrich Downtown Kinmen,PMI,Menthol,Full Flavor,STD,KS,3,5421560,0.4
India,Chattrapati Shivaji,PMI,Regular,Full Flavor,STD,KS,13,564281426,12
Switzerland,Zurich,PMI,NTD Caps,Full Flavor,STD,KS,4,102930600,4.9
China,Hohhot Baita,PMI,NTD Caps,Full Flavor,STD,KS,2,1520000,0
Caribbean Other,Port-au-Prince (Haiti),PMI,Regular,Full Flavor,STD,KS,10,55897200,9.2
Egypt,Alexandria,PMI,Menthol Caps,Full Flavor,STD,KS,2,9327200,0
South Korea,Yangyang,PMI,Regular,Full Flavor,STD,KS,7,285600,0
Great Britain,Birmingham,PMI,Regular,Full Flavor,STD,KS,4,137221200,2.6
Egypt,Sharm El Sheikh,PMI,Regular,Full Flavor,SLI,KS,7,738621803,2.2
Taiwan,Taichung,PMI,NTD Caps,Full Flavor,STD,KS,2,452196,0
France,Tarbes - Lourdes,PMI,Regular,Full Flavor,STD,KS,5,9865200,0.1
Turkey,Denizli Cardak Airport,PMI,Regular,Full Flavor,SSL,KS,1,590400,0
India,Sardar Vallabh Bhai Patel,PMI,NTD Caps,Full Flavor,STD,KS,2,2950704,0.1
South Africa,Cape Town,PMI,Regular,Full Flavor,SLI,KS,1,65151400,17.1
Mexico,Los Cabos,PMI,NTD Caps,Full Flavor,STD,KS,3,80497200,0.5
Jordan,Marka,PMI,Regular,Full Flavor,STD,KS,3,123000,0
China,Wuxi Shuofang,PMI,Regular,Full Flavor,STD,KS,3,5088200,0.1
Australia,Perth,PMI,NTD Caps,Full Flavor,STD,KS,3,1910800,7.4
Kenya,Nairobi,PMI,Regular,Full Flavor,STD,KS,3,6272000,0.5
China,Sanya Fenghuang,PMI,Menthol Caps,Full Flavor,STD,KS,1,2025000,0
China,Urumchi Diwobao,PMI,Menthol Caps,Full Flavor,STD,KS,3,71132000,0.9
China,Wuhan Tianhe,PMI,NTD Caps,Full Flavor,STD,KS,5,55709600,0.7
Great Britain,Manchester,PMI,Regular,Full Flavor,SLI,KS,2,231922200,4.5
France,Nice,PMI,Regular,Full Flavor,SLI,KS,2,179764400,1.5
South Korea,Cheongju,PMI,Regular,Lights,SLI,KS,1,3669800,0
Costa Rica,Liberia,PMI,Regular,Full Flavor,STD,KS,3,3803200,20.2
Tunisia,Jerba,PMI,NTD Caps,Full Flavor,STD,KS,7,194226000,0.9
Morocco,Tangier,PMI,Menthol Caps,Full Flavor,STD,KS,3,29517600,0.1
Great Britain,Exeter,PMI,Regular,Full Flavor,STD,KS,4,4913400,0.1
Germany,Paderborn,PMI,Regular,Full Flavor,STD,KS,4,13395400,0.4
China,Hefei Xinqiao,PMI,Regular,Full Flavor,STD,KS,3,8828600,0.1
Japan,Sendai,PMI,Menthol,Full Flavor,STD,KS,1,2281600,0
China,Hangzhou Xiaoshan,PMI,Menthol Caps,Full Flavor,STD,KS,3,250075600,3.1
Italy,Torino,PMI,Regular,Full Flavor,STD,KS,7,38085800,0.9
Morocco,Fes,PMI,Regular,Full Flavor,SLI,KS,1,6069000,0
Great Britain,Humberside,PMI,Regular,Full Flavor,SLI,KS,2,2381800,0
France,Marseille,PMI,Regular,Lights,STD,KS,2,22591200,0.2
Japan,Hiroshima,PMI,Menthol Caps,Full Flavor,STD,KS,2,1565200,0
Oman,Muscat,PMI,Menthol,Full Flavor,STD,KS,1,28611800,0.7
Costa Rica,Liberia,PMI,Regular,Full Flavor,SLI,KS,1,694400,3.7
El Salvador,San Salvador Comalapa,PMI,NTD Caps,Full Flavor,STD,KS,2,95830352,7.3
South Korea,Incheon,PMI,Regular,Full Flavor,SSL,KS,1,64232000,0.4
United Arab Emirates,Ras El Khaymah,PMI,Regular,Ultralights,STD,KS,1,2203200,0
Malaysia,Johor Bahru,PMI,Regular,Full Flavor,STD,KS,4,28650000,2.8
Portugal,Faro Airport,PMI,Regular,Full Flavor,STD,KS,4,184501000,25.8
New Zealand,Christchurch,PMI,NTD Caps,Full Flavor,STD,KS,1,42000,0.4
Botswana,Gaborone,PMI,Menthol Caps,Full Flavor,STD,KS,1,740000,100
Mexico,Queretaro,PMI,Regular,Full Flavor,SLI,KS,1,1686220,0
India,Goa,PMI,Regular,Full Flavor,SLI,KS,5,7036609,0.1
Suriname,Paramaribo,PMI,Regular,Full Flavor,SLI,KS,2,322505439,36.6
Mexico,Guadalajara,PMI,Menthol Caps,Full Flavor,STD,KS,3,23632200,0.1
Great Britain,Cardiff,PMI,Regular,Full Flavor,SLI,KS,2,7497000,0.1
Kosovo,PRISTINA,PMI,Regular,Full Flavor,STD,KS,1,15191600,67.6
Myanmar,Mandalay,PMI,NTD Caps,Full Flavor,STD,KS,2,1477400,4.7
Morocco,Essaouira,PMI,Menthol Caps,Full Flavor,STD,KS,2,543200,0
Russia,Volgograd,PMI,NTD Caps,Full Flavor,STD,KS,1,57000,0
Dominican Republic,La Romana,PMI,Menthol,Full Flavor,STD,KS,1,3660800,0
Poland,Elblag,PMI,Regular,Full Flavor,SLI,KS,2,1966800,0
Malaysia,Kota Kinabalu,PMI,NTD Caps,Full Flavor,STD,KS,1,4655200,0.5
South Korea,Muan,PMI,Regular,Full Flavor,SSL,KS,1,481600,0
Mexico,La Paz Manuel Marquez de Leon,PMI,Menthol,Full Flavor,STD,KS,1,6441600,0
Mexico,Cozumel,PMI,NTD Caps,Full Flavor,STD,KS,1,4586400,0
Dominican Republic,La Romana,PMI,NTD Caps,Full Flavor,STD,KS,1,470400,0
Mayotte,Pamandzi,PMI,Regular,Full Flavor,SLI,KS,2,495595991,47.8
Croatia,Dubrovnik,PMI,Regular,Full Flavor,SLI,KS,1,3024000,8.4
Greece,Mitilini,PMI,Regular,Full Flavor,SLI,KS,2,889000,0.1
Laos,Vientiane,PMI,Menthol,Full Flavor,STD,KS,1,9528200,6.5
South Korea,Seoul (downtown),PMI,Menthol,Full Flavor,STD,KS,1,7191800,0
Morocco,Marrakech,PMI,Regular,Full Flavor,STD,KS,16,8569279800,33.2
Germany,Stuttgart,PMI,Regular,Full Flavor,STD,KS,7,78244800,2.5
Cambodia,Phnom Penh,PMI,NTD Caps,Full Flavor,STD,KS,2,6939200,9.9
Germany,Cologne,PMI,Regular,Full Flavor,STD,KS,5,50751645,1.6
France,Paris Orly,PMI,Regular,Full Flavor,STD,KS,10,2143518400,17.7
South Korea,Cheongju,PMI,Regular,Full Flavor,STD,KS,8,100233200,0.6
Morocco,Casablanca,PMI,Regular,Full Flavor,STD,KS,16,3316726000,12.9
Poland,Gdansk,PMI,Regular,Full Flavor,STD,KS,10,1967656720,16.6
Brazil,Sao Paulo - Guarulhos,PMI,Regular,Full Flavor,STD,KS,12,1394202600,23
China,Xian Xianyang,PMI,Menthol Caps,Full Flavor,STD,KS,5,65970337,0.8
Egypt,Asyut,PMI,Regular,Full Flavor,STD,KS,24,110037509,0.3
Ireland,Shannon,PMI,Regular,Full Flavor,STD,KS,3,5045124,2.1
New Zealand,Auckland,PMI,Regular,Full Flavor,STD,KS,3,4728000,40.4
Turkey,Kayseri Airport,PMI,NTD Caps,Full Flavor,STD,KS,9,312057800,0.2
Turkey,Ankara Airport,PMI,Menthol Caps,Full Flavor,STD,KS,6,252838800,0.2
Dominican Republic,La Romana,PMI,Regular,Full Flavor,STD,KS,11,89367000,0.9
Turkey,Denizli Cardak Airport,PMI,Regular,Full Flavor,STD,KS,36,62887600,0
Cape Verde,Praia,PMI,Regular,Full Flavor,SLI,KS,2,298937200,5.1
Egypt,Alexandria,PMI,NTD Caps,Full Flavor,STD,KS,6,49746600,0.1
United Arab Emirates,Abu Dhabi,PMI,NTD Caps,Full Flavor,STD,KS,8,608713200,1.8
Japan,Fukuoka,PMI,Menthol Caps,Full Flavor,STD,KS,4,49669200,0.4
Suriname,Paramaribo,PMI,Menthol Caps,Full Flavor,STD,KS,2,28468709,3.2
Kenya,Jomo Kenyatta,PMI,Regular,Full Flavor,STD,KS,10,480972064,39.9
Lebanon,Beirut - Rafik Hariri,PMI,Regular,Full Flavor,STD,KS,19,1470666600,20.7
India,Netaji Subhash Chandra Bose Int. Airport,PMI,Regular,Full Flavor,STD,KS,10,17044054,0.4
Turkey,Trabzon Airport,PMI,Menthol Caps,Full Flavor,STD,KS,5,22749000,0
India,Karipur,PMI,Regular,Full Flavor,STD,KS,10,17044054,0.4
China,Pengsheng,PMI,Regular,Full Flavor,STD,KS,4,19450200,0.2
China,Changsha Huanghua,PMI,Menthol Caps,Full Flavor,STD,KS,3,30701400,0.4
Serbia,Belgrade,PMI,Regular,Full Flavor,STD,KS,4,27558400,35.1
India,Mangalore,PMI,Regular,Full Flavor,STD,KS,10,17044054,0.4
Turkey,Konya Airport,PMI,Regular,Full Flavor,SLI,KS,4,2541400,0
Turkey,Izmir Airport,PMI,Regular,Full Flavor,STD,KS,47,10503970800,6.4
Turkey,Konya Airport,PMI,NTD Caps,Full Flavor,STD,KS,5,19583600,0
China,Shanghai Pudong,PMI,Menthol Caps,Full Flavor,STD,KS,3,125116032,1.6
Togo,Togo,PMI,Regular,Full Flavor,STD,KS,7,720792781,72.3
Poland,Warsaw,PMI,Regular,Full Flavor,SLI,KS,2,228554600,1.9
India,Bangalore,PMI,Regular,Full Flavor,STD,KS,19,276820712,5.9
United Arab Emirates,Sharjah,PMI,Regular,Full Flavor,STD,KS,16,1881082000,5.5
Mexico,Cancun,PMI,NTD Caps,Full Flavor,STD,KS,3,800252800,5
Bahrain,Manama,PMI,Regular,Full Flavor,SLI,KS,10,1845660400,51
Ethiopia,Addis Ababa,PMI,Regular,Full Flavor,STD,KS,11,1984795800,33.6
China,Shanghai Pudong,PMI,Regular,Full Flavor,STD,KS,6,158841216,2
Tunisia,Enfidha,PMI,Regular,Full Flavor,SLI,KS,4,798725200,3.6
Brazil,Viracopos,PMI,Regular,Full Flavor,STD,KS,11,86585800,1.4
Japan,Tokyo - Shinjuku,PMI,Regular,Full Flavor,STD,KS,5,126103400,0.9
South Korea,Incheon,PMI,NTD Caps,Full Flavor,STD,KS,6,1816088000,11
Egypt,Aswan,PMI,Regular,Full Flavor,STD,KS,23,217397850,0.6
China,Shanghai Pudong,PMI,NTD Caps,Full Flavor,STD,KS,5,154241646,1.9
Georgia,Kutaisi,PMI,Regular,Full Flavor,STD,KS,10,36320400,13.6
Japan,Sendai,PMI,Regular,Full Flavor,STD,KS,6,17676400,0.1
Russia,Astrakhan,PMI,Regular,Full Flavor,STD,KS,7,18253000,3.2
Turkey,Adana Airport,PMI,Regular,Full Flavor,STD,KS,30,487450200,0.3
Belize,Belize City,PMI,Menthol,Full Flavor,STD,KS,3,11175984,2.8
Poland,Szczecin,PMI,Regular,Full Flavor,STD,KS,8,229844760,1.9
Caribbean Other,Kralendijk (Bonaire),PMI,Regular,Full Flavor,SLI,KS,3,210916727,34.7
Madagascar,Tulear,PMI,Regular,Full Flavor,STD,KS,3,209186159,64.2
Turkey,Samsun Airport,PMI,Menthol Caps,Full Flavor,STD,KS,9,20935200,0
Albania,Tirana,PMI,Regular,Full Flavor,STD,KS,4,1253845000,22.7
Germany,Hamburg,PMI,Regular,Full Flavor,STD,KS,9,114740800,3.7
Great Britain,Bristol,PMI,Regular,Full Flavor,STD,KS,4,78475600,1.5
Japan,Chitose,PMI,Menthol,Full Flavor,STD,KS,4,19632000,0.1
South Korea,Jeju (downtown),PMI,Regular,Full Flavor,STD,KS,11,108655400,0.7
Egypt,Aswan,PMI,Regular,Full Flavor,SLI,KS,7,151710558,0.4
Tunisia,Tunis,PMI,Menthol Caps,Full Flavor,STD,KS,3,20988800,0.1
Germany,Dresden,PMI,Regular,Full Flavor,STD,KS,3,9053000,0.3
Namibia,Katima Mulilo,PMI,Regular,Full Flavor,STD,KS,2,43100000,15
Japan,Tokyo - Narita,PMI,Menthol Caps,Full Flavor,STD,KS,4,522988800,3.8
Japan,Osaka - Kansai,PMI,Menthol,Full Flavor,STD,KS,5,361959400,2.6
Panama,Panama Tocumen,PMI,NTD Caps,Full Flavor,STD,KS,2,95057600,6.5
Brazil,Natal,PMI,Regular,Full Flavor,STD,KS,11,25969600,0.4
Panama,Panama Tocumen,PMI,Menthol,Full Flavor,STD,KS,2,43571400,3
France,Bordeaux,PMI,Regular,Lights,STD,KS,2,2605400,0
Jamaica,Montego Bay,PMI,NTD Caps,Full Flavor,STD,KS,3,133747284,8.3
South Korea,Seoul (downtown),PMI,Regular,Lights,SLI,KS,1,436600,0
New Zealand,Christchurch,PMI,Regular,Full Flavor,STD,KS,3,3740000,32
Mexico,Mazatlan,PMI,Regular,Full Flavor,SLI,KS,3,14152400,0.1
France,Chambery,PMI,Regular,Full Flavor,SLI,KS,1,4850400,0
Great Britain,Edinburgh,PMI,Regular,Full Flavor,SLI,KS,2,86338800,1.7
China,Nanchang Changbei,PMI,NTD Caps,Full Flavor,STD,KS,2,79400,0
Japan,Komatsu,PMI,Regular,Full Flavor,STD,KS,3,7603400,0.1
South Africa,Cape Town,PMI,NTD Caps,Full Flavor,STD,KS,1,4732200,1.2
Ecuador,Guayaquil,PMI,NTD Caps,Full Flavor,STD,KS,3,116447400,5.9
Vietnam,Phu Quok,PMI,Menthol,Full Flavor,STD,KS,1,3294000,0.3
Spain,Gerona,PMI,Regular,Full Flavor,SLI,KS,1,15846800,0.1
Great Britain,Leeds Bradford,PMI,Regular,Full Flavor,STD,KS,4,43611800,0.8
Russia,Zhukovsky,PMI,Regular,Full Flavor,STD,KS,6,1866000,0.3
Mexico,Huatulco,PMI,Regular,Full Flavor,STD,KS,11,366447632,2.3
China,Pengsheng,PMI,Menthol Caps,Full Flavor,STD,KS,3,32623960,0.4
Lebanon,Beirut - Rafik Hariri,PMI,NTD Caps,Full Flavor,STD,KS,6,893015800,12.6
Mexico,La Paz Manuel Marquez de Leon,PMI,Regular,Full Flavor,SLI,KS,3,45009800,0.3
Vietnam,Ho Chi Minh,PMI,Regular,Full Flavor,STD,KS,4,203249800,19
Dominican Republic,Santiago Cibao,PMI,Menthol,Full Flavor,STD,KS,1,6230400,0.1
Mexico,Mexico City,PMI,Menthol,Full Flavor,STD,KS,1,86310400,0.5
Denmark,Faroe Islands,PMI,Regular,Full Flavor,STD,KS,4,3620000,3.7
Morocco,Essaouira,PMI,Menthol,Full Flavor,STD,KS,1,9550000,0
Paraguay,Asuncion Silvio Petterossi,PMI,Regular,Full Flavor,STD,KS,5,77599884,60.9
Dominican Republic,Puerto Plata,PMI,Menthol Caps,Full Flavor,STD,KS,2,16289600,0.2
